org,coordinates.lon,coordinates.lat
Indio,-116.21556,33.72058
Inglewood,-118.35313,33.96168
Ione,-120.93272,38.35269
Irvine,-117.8265,33.68457
Irwindale,-117.93534,34.10695
Isleton,-121.61162,38.16186
Jackson,-120.7741,38.3488
Jurupa Valley,-117.48548,33.9972
Kerman,-120.05988,36.72356
King City,-121.12603,36.21274
Kingsburg,-119.55402,36.51384
La Canada Flintridge,-118.20003,34.20682
Lafayette,-122.11802,37.88576
Laguna Beach,-117.78536,33.54272
Laguna Hills,-117.69866,33.59164
Laguna Niguel,-117.71494,33.52367
Laguna Woods,-117.72512,33.61017
La Habra,-117.94614,33.93186
La Habra Heights,-117.95062,33.96085
Lake Elsinore,-117.32726,33.66808
Lake Forest,-117.6861,33.64694
Lakeport,-122.91583,39.04295
Lakewood,-118.13396,33.85363
La Mesa,-117.02308,32.76783
La Mirada,-118.01201,33.91724
Lancaster,-118.15416,34.68678
La Palma,-118.04614,33.84632
La Puente,-117.94951,34.02001
La Quinta,-116.31001,33.66336
Larkspur,-122.53525,37.93409
Lathrop,-121.27661,37.8227
La Verne,-117.76784,34.10084
Lawndale,-118.35257,33.88724
Lemon Grove,-117.03142,32.74255
Lemoore,-119.78291,36.30078
Lincoln,-121.29301,38.89156
Lindsay,-119.08816,36.20301
Live Oak,-121.65997,39.27572
Livermore,-121.76847,37.68187
Livingston,-120.72353,37.38688
Lodi,-121.27222,38.13415
Loma Linda,-117.26115,34.04835
Lomita,-118.31507,33.79224
Lompoc,-120.45794,34.63915
Long Beach,-118.19374,33.77005
Loomis,-121.193,38.82129
Los Alamitos,-118.07189,33.8032
Los Altos,-122.11413,37.38522
Los Altos Hills,-122.13746,37.37966
Los Angeles,-118.24368,34.05223
Los Banos,-120.84992,37.05828
Los Gatos,-121.96238,37.23581
Loyalton,-120.24104,39.67629
Lynwood,-118.21146,33.93029
Madera,-120.06072,36.96134
Malibu,-118.77976,34.02592
Mammoth Lakes,-118.97208,37.64855
Manhattan Beach,-118.41091,33.88474
Manteca,-121.21605,37.79743
Maricopa,-119.40095,35.05886
Marina,-121.80217,36.6844
Martinez,-122.13413,38.01937
Marysville,-121.59135,39.14573
Maywood,-118.18535,33.98668
McFarland,-119.22927,35.67801
Mendota,-120.38156,36.75356
Menifee,-117.18529,33.69715
Menlo Park,-122.18173,37.45296
Merced,-120.48297,37.30216
Millbrae,-122.38719,37.59855
Mill Valley,-122.54498,37.90604
Milpitas,-121.89957,37.43233
Mission Viejo,-117.65816,33.59689
Modesto,-120.997,37.63926
Monrovia,-118.00195,34.14426
Montague,-122.5278,41.7282
Montclair,-117.68978,34.07751
Montebello,-118.11375,34.01651
Monterey,-121.89468,36.60024
Monterey Park,-118.12285,34.06251
Monte Sereno,-121.99246,37.23633
Moorpark,-118.88204,34.28556
Moraga,-122.12969,37.83493
Moreno Valley,-117.22967,33.94247
Morgan Hill,-121.65439,37.1305
Morro Bay,-120.84999,35.36594
Mountain View,-122.08385,37.38605
Mount Shasta,-122.31057,41.30987
Murrieta,-117.21392,33.55391
Napa,-122.28687,38.29754
National City,-117.0992,32.67811
Needles,-114.61413,34.84806
Nevada City,-121.01606,39.26156
Newark,-122.0384,37.52998
Newman,-121.02055,37.31371
Newport Beach,-117.92985,33.61888
Norco,-117.54866,33.93113
Norwalk,-118.08173,33.90224
Novato,-122.5697,38.10742
Oakdale,-120.84703,37.76663
Oakland,-122.27116,37.80435
Oakley,-121.71245,37.99742
Oceanside,-117.37948,33.19587
Ojai,-119.24289,34.44805
Ontario,-117.65089,34.06334
Orange,-117.8531,33.78791
Orange Cove,-119.31373,36.62439
Orinda,-122.17969,37.87715
Orland,-122.19637,39.74738
Oroville,-121.55636,39.51378
Oxnard,-119.17705,34.1975
Pacifica,-122.48692,37.61383
Pacific Grove,-121.91662,36.61774
Palmdale,-118.11646,34.57943
Palm Desert,-116.37446,33.72224
Palm Springs,-116.54529,33.8303
Palo Alto,-122.14302,37.44188
Palos Verdes Estates,-118.39007,33.80057
Paradise,-121.62192,39.75961
Paramount,-118.15979,33.88946
Parlier,-119.52707,36.61162
Pasadena,-118.14452,34.14778
Paso Robles,-120.6545,35.63688
Patterson,-121.12991,37.47165
Perris,-117.22865,33.78252
Petaluma,-122.63665,38.23242
Pico Rivera,-118.09673,33.98307
Piedmont,-122.23149,37.82441
Pinole,-122.29886,38.00437
Pismo Beach,-120.64128,35.14275
Pittsburg,-121.88468,38.02798
Placentia,-117.86275,33.87107
Placerville,-120.79855,38.72963
Pleasant Hill,-122.0608,37.94798
Pleasanton,-121.8758,37.66045
Plymouth,-120.84466,38.48185
Point Arena,-123.69307,38.9088
Pomona,-117.74999,34.0551
Porterville,-119.01677,36.06523
Port Hueneme,-119.19511,34.14778
Portola,-120.4691,39.81046
Portola Valley,-122.23524,37.38411
Poway,-117.03586,32.96282
Rancho Cordova,-121.30273,38.58907
Rancho Cucamonga,-117.59311,34.1064
Rancho Mirage,-116.41279,33.73974
Rancho Palos Verdes,-118.38702,33.74446
Rancho Santa Margarita,-117.60283,33.64017
Red Bluff,-122.23583,40.17849
Redding,-122.39168,40.58654
Redlands,-117.18254,34.05557
Redondo Beach,-118.38841,33.84918
Redwood City,-122.22814,37.4848
Reedley,-119.4504,36.59634
Rialto,-117.37032,34.1064
Richmond,-122.34775,37.93576
Ridgecrest,-117.6709,35.62246
Rio Dell,-124.10644,40.4993
Rio Vista,-121.69134,38.15575
Ripon,-121.13541,37.73945
Riverbank,-120.93571,37.73601
Riverside,-117.37549,33.9806
Rocklin,-121.23578,38.79073
Rohnert Park,-122.7011,38.33964
Rolling Hills,-118.35396,33.75696
Rolling Hills Estates,-118.35813,33.78779
Rosemead,-118.07285,34.08057
Roseville,-121.28801,38.75212
Ross,-122.55498,37.96242
Sacramento,-121.4944,38.58157
Salinas,-121.6555,36.67774
San Anselmo,-122.56164,37.97465
San Bernardino,-117.28977,34.10834
San Bruno,-122.41108,37.63049
San Carlos,-122.26052,37.50716
San Clemente,-117.6126,33.42735
Sand City,-121.84829,36.61718
San Diego,-117.16108,32.71574
San Dimas,-117.80673,34.10668
San Fernando,-118.43897,34.28195
San Gabriel,-118.10583,34.09611
Sanger,-119.55597,36.70801
San Jacinto,-116.95864,33.78391
San Joaquin,-121.17104,37.91759
San Jose,-121.88633,37.33821
San Juan Bautista,-121.538,36.84551
San Juan Capistrano,-117.66277,33.5019
San Leandro,-122.15686,37.72577
San Luis Obispo,-120.65962,35.28275
San Marcos,-117.16614,33.14337
San Marino,-118.10646,34.1214
San Mateo,-122.32553,37.56299
San Pablo,-122.34553,37.96215
San Rafael,-122.53109,37.97353
San Ramon,-121.95396,37.76436
Santa Ana,-117.86765,33.74547
Santa Barbara,-119.69819,34.42083
Santa Clara,-121.95524,37.35411
Santa Clarita,-118.54259,34.39166
Santa Cruz,-122.0308,36.97412
Santa Fe Springs,-118.08535,33.94724
Santa Maria,-120.43572,34.95303
Santa Monica,-118.49119,34.01945
Santa Paula,-119.05927,34.35417
Santa Rosa,-122.71405,38.44043
Santee,-116.97392,32.83838
Saratoga,-122.02301,37.26383
Sausalito,-122.48525,37.85909
Scotts Valley,-122.01468,37.05106
Seal Beach,-118.10477,33.74141
Seaside,-121.8221,36.61492
Sebastopol,-122.82388,38.40214
Selma,-119.61208,36.57078
Shafter,-119.27178,35.50051
Shasta Lake,-122.37084,40.68043
Sierra Madre,-118.05285,34.16167
Signal Hill,-118.16785,33.80446
Simi Valley,-118.78148,34.26945
Solana Beach,-117.27115,32.99115
Soledad,-121.32632,36.42469
Solvang,-120.13765,34.59582
Sonoma,-122.45804,38.29186
Sonora,-120.38217,37.98295
South El Monte,-118.04673,34.05195
South Gate,-118.21202,33.95474
South Lake Tahoe,-119.97719,38.93993
South Pasadena,-118.15035,34.11612
South San Francisco,-122.40775,37.65466
Stanton,-117.99312,33.80289
St. Helena,-122.47039,38.50524
Stockton,-121.29078,37.9577
Suisun City,-122.04024,38.23825
Sunnyvale,-122.03635,37.36883
Susanville,-120.65301,40.41628
Sutter Creek,-120.80244,38.39297
Taft,-119.45651,35.14247
Tehachapi,-118.44897,35.13219
Temecula,-117.14836,33.49364
Temple City,-118.05785,34.10723
Thousand Oaks,-118.83759,34.17056
Tiburon,-122.45664,37.87354
Torrance,-118.34063,33.83585
Tracy,-121.426,37.73958
Trinidad,-124.14312,41.05929
Truckee,-120.18325,39.32796
Tulare,-119.34734,36.20773
Tulelake,-121.47749,41.95599
Turlock,-120.84598,37.49457
Tustin,-117.82364,33.742
Twentynine Palms,-116.05417,34.13556
Ukiah,-123.20778,39.15017
Union City,-122.04386,37.59336
Upland,-117.64839,34.09751
Vacaville,-121.98774,38.35658
Vallejo,-122.25664,38.10409
Ventura,-119.29452,34.28049
Vernon,-118.23007,34.0039
Victorville,-117.29276,34.53622
Villa Park,-117.82207,33.81401
Visalia,-119.29206,36.33023
Vista,-117.24254,33.20004
Walnut,-117.86534,34.02029
Walnut Creek,-122.06518,37.91008
Wasco,-119.34095,35.59412
Waterford,-120.76158,37.64055
Watsonville,-121.75689,36.91023
Weed,-122.38613,41.42265
West Covina,-117.93895,34.06862
West Hollywood,-118.36174,34.09001
Westlake Village,-118.80737,34.14665
Westminster,-117.98971,33.75918
Westmorland,-115.62138,33.03727
West Sacramento,-121.53023,38.58046
Wheatland,-121.42301,39.00989
Whittier,-118.03284,33.97918
Wildomar,-117.28004,33.59891
Williams,-122.14942,39.15461
Willits,-123.35557,39.40961
Willows,-122.19359,39.52433
Windsor,-122.81638,38.54713
Winters,-121.9708,38.52491
Woodlake,-119.09872,36.41356
Woodland,-121.7733,38.67852
Woodside,-122.25386,37.42994
Yorba Linda,-117.81326,33.8885
Yountville,-122.36081,38.40158
Yreka,-122.63447,41.73542
Yuba City,-121.61691,39.14045
Yucaipa,-117.04309,34.03363
Yucca Valley,-116.43224,34.11417
Alameda County,-121.71955,37.60169
Alpine County,-119.88152,38.59407
Amador County,-120.77409,38.34889
Butte County,-121.537,39.6254
Calaveras County,-120.6805,38.19605
Colusa County,-122.26539,39.10406
Contra Costa County,-121.9018,37.85341
Del Norte County,-123.96597,41.70763
El Dorado County,-120.43576,38.74264
Fresno County,-119.23208,36.9859
Glenn County,-122.44672,39.64378
Humboldt County,-123.86951,40.74501
Imperial County,-115.47336,33.01137
Inyo County,-117.54958,36.30919
Kern County,-118.85968,35.49373
Kings County,-119.88152,36.09885
Lake County,-122.80845,39.08396
Lassen County,-120.712,40.53944
Los Angeles County,-118.24366,34.05223
Madera County,-119.69627,37.25193
Marin County,-122.7633,38.0834
Mariposa County,-119.96793,37.48936
Mendocino County,-123.43835,39.55002
Merced County,-120.712,37.20098
Modoc County,-120.62937,41.45652
Mono County,-118.95286,37.92186
Monterey County,-121.35416,36.31362
Napa County,-122.26539,38.50247
Nevada County,-121.17104,39.13467
Orange County,-117.83114,33.71747
Placer County,-120.80395,39.09158
Plumas County,-120.80395,39.99268
Riverside County,-117.39612,33.9533
Sacramento County,-121.35416,38.47467
San Benito County,-120.98763,36.57609
San Bernardino County,-116.41939,34.95921
San Diego County,-117.1611,32.71573
San Francisco,-122.41942,37.77493
San Joaquin County,-121.17104,37.91759
San Luis Obispo County,-120.43576,35.31023
San Mateo County,-122.40142,37.43373
Santa Barbara County,-119.69819,34.42083
Santa Clara County,-121.8907,37.33366
Santa Cruz County,-121.95796,37.0454
Shasta County,-121.84745,40.79089
Sierra County,-120.25127,39.55328
Siskiyou County,-122.57701,41.77433
Solano County,-121.9018,38.3105
Sonoma County,-122.98883,38.57796
Stanislaus County,-120.98763,37.50907
Sutter County,-121.67394,39.02198
Tehama County,-122.1746,40.09822
Trinity County,-123.06226,40.63295
Tulare County,-118.85968,36.13417
Tuolumne County,-119.97405,38.02965
Ventura County,-119.13906,34.37049
Yolo County,-121.9018,38.7646
Yuba County,-121.3999,39.2547
California State University,-118.20126,33.76388
University of California,-122.27121,37.8021
Allan Hancock College,-120.41893,34.94461
Antelope Valley College,-118.18644,34.67717
Barstow College,-117.02336,34.87032
Butte-Glenn Community College District,-121.64494,39.64853
Cabrillo College,-121.92528,36.98873
Cerritos College,-118.09528,33.88444
Chabot-Las Positas CCD,-121.92984,37.70378
Chaffey College,-117.57086,34.14672
Citrus College,-117.88515,34.1333
City College of San Francisco,-122.45108,37.72569
Coast Community College District,-117.91621,33.67404
College Of Marin,-122.54964,37.95578
College of the Canyons,-118.56963,34.40422
College of the Desert,-116.38683,33.73244
College of the Redwoods,-124.19538,40.69843
College of the Sequoias,-119.31498,36.3251
College of the Siskiyous,-122.39029,41.41217
Compton Community College District,-118.2112,33.87756
Contra Costa Community College District,-122.13506,38.01909
Copper Mountain College,-116.21693,34.14106
Cuesta College,-120.74007,35.32925
El Camino College,-118.32844,33.88524
Feather River College,-120.96925,39.95024
Foothill Deanza Community College District,-122.12714,37.36205
Gavilan College,-121.56856,36.97326
Glendale Community College,-118.22792,34.16658
Grossmont-Cuyamaca CCD,-117.00657,32.81667
Hartnell College,-121.66763,36.67416
Imperial Valley College,-115.50355,32.82834
Kern Community College District,-119.0186,35.37827
Lake Tahoe Community College,-119.9728,38.92698
Lassen College,-120.63258,40.43153
Long Beach City College,-118.13478,33.83279
Los Angeles Community College District,-118.25805,34.049
Los Rios Community College District,-121.41681,38.57967
Mendocino College,-123.22779,39.18956
Merced College,-120.47618,37.33484
Miracosta College,-117.30218,33.19007
Monterey Peninsula College,-121.88219,36.59131
Mt. San Antonio College,-117.84213,34.04875
Mt. San Jacinto College,-116.96941,33.80662
Napa Valley College,-122.2761,38.27428
North Orange Community College District,-117.9455,33.84998
Ohlone College,-121.91143,37.53166
Palomar College,-117.18267,33.15042
Palo Verde College,-114.65257,33.66193
Pasadena City College,-118.1182,34.144
Peralta Community College District,-122.26091,37.79265
Rancho Santiago Community College District,-117.86819,33.76736
Rio Hondo College,-118.03472,34.01901
Riverside Community College District,-117.3761,33.9824
San Bernardino Community College District,-117.27378,34.06699
San Diego Community College District,-117.12066,32.77617
San Joaquin Delta College,-121.31955,37.99537
San Jose Evergreen Community College District,-121.76508,37.30113
San Mateo Community College District,-122.33765,37.53126
Santa Barbara City College,-119.69732,34.40592
Santa Monica College,-118.47039,34.01656
Santa Rosa Junior College,-122.72171,38.45492
Shasta College,-122.3181,40.62558
Sierra College,-121.21085,38.79096
Solano Community College,-122.1199,38.23522
South Orange Community College District,-117.66344,33.55498
Southwestern College,-116.99806,32.64071
State Center Community College District,-119.79232,36.73568
Taft College,-119.46013,35.14922
Ventura County CCD,-119.05792,34.21909
Victor Valley College,-117.2616,34.47472
West Hills Community College District,-120.35159,36.1531
West Valley Mission CCD,-122.01094,37.26414
Yosemite Community College District,-121.03859,37.66101
Yuba Community College District,-121.53945,39.1273
State of California,-119.41793,36.77826
The State Bar of California,-118.2625,34.04725
